评论,标签,得分
还有一小时就是刻律德拉的立绘了,positive (stars 4 and 5),0.9208546876907349
等等...你是说素裳抢了希儿衣服，跑到白露同款取景地，学灵砂摆造型，顺便换了个名字叫海瑟音是吗？,positive (stars 4 and 5),0.5715525150299072
这种我觉得看剧情吧，剧情好了，强度好了也是愿意买单的,positive (stars 4 and 5),0.961581289768219
这是谁的换色皮,"negative (stars 1, 2 and 3)",0.9248664379119873
一张图看出了八百个角色碎片,"negative (stars 1, 2 and 3)",0.581969141960144
拼好人，花火的鱼素裳的脸希儿的裙子灵砂的感觉，仅这一张立绘而言，比广告小游戏略胜一筹，赛飞儿不是画的挺好的吗？真让白厄创世成功了？描一遍金血祝颂吧，感觉差远了，这个视觉效果只能用莫名其妙形容,positive (stars 4 and 5),0.641451358795166
这是隔壁崩三的后崩芽衣。看眼睛,"negative (stars 1, 2 and 3)",0.8939259052276611
能不能换脸啊，这长的呆呆傻傻的，不贴人设的感觉，不能出这种类型的美女吗,"negative (stars 1, 2 and 3)",0.7558974027633667
"好看！就是和我想象中的海瑟音完全不一样😂
海瑟音难道不是那个拉小提琴的吗，就算建模长裙不好建，但是差的也太多了叭","negative (stars 1, 2 and 3)",0.5381709933280945
你看看这和pv是一个人吗,positive (stars 4 and 5),0.5470101833343506
我怎么感觉她好眼熟啊,positive (stars 4 and 5),0.872231662273407
补药奔现啊，隔着屏幕多好,"negative (stars 1, 2 and 3)",0.517362117767334
怪怪的，人山人海的,"negative (stars 1, 2 and 3)",0.7024435997009277
为啥是物理啊？我还以为是量子嘞,"negative (stars 1, 2 and 3)",0.7572214007377625
素裳？你怎么也来翁法洛斯了？,positive (stars 4 and 5),0.638904333114624
随蝴蝶一起消散吧，旧日的幻影,positive (stars 4 and 5),0.9854199290275574
只看下半身像希儿，看上半身像素裳,positive (stars 4 and 5),0.737636387348175
李素裳➕灵砂的既视感,positive (stars 4 and 5),0.9909976720809937
上半dot，下半同谐，不好的回忆涌上心头,positive (stars 4 and 5),0.7531426548957825
"浮梦若薇
崩坏3：塞西莉亚·沙尼亚特，米斯忒琳·沙尼亚特（羽兔）
原神：梦见月瑞希",positive (stars 4 and 5),0.7019094824790955
第一眼看着像后崩芽衣,"negative (stars 1, 2 and 3)",0.8762117624282837
"以一敌万叫万敌 
那么海瑟音一敌6万
是不是可以叫六万敌
",positive (stars 4 and 5),0.5786394476890564
幻视海列屈原,positive (stars 4 and 5),0.9890262484550476
好耶！日配还是能天使/派派/安柏,positive (stars 4 and 5),0.9252824783325195
立绘有种李素裳画着芽衣的装，穿希儿衣服的感觉,positive (stars 4 and 5),0.913455069065094
表情比我想象中温柔好多，我以为她是那种非常疯的感觉,positive (stars 4 and 5),0.9884538054466248
最强杀神登场,positive (stars 4 and 5),0.9717292189598083
神秘面纱女子会出手的,positive (stars 4 and 5),0.9575507640838623
所以海瑟音出手了,positive (stars 4 and 5),0.978710949420929
占个楼，祝大家十连双金，得偿所愿！,positive (stars 4 and 5),0.6410861611366272
这个脸素赏是你吗,"negative (stars 1, 2 and 3)",0.531670868396759
赢,positive (stars 4 and 5),0.9403074979782104
sp素裳是你吗,positive (stars 4 and 5),0.5730237364768982
dot女子否输矣。岂无人觉 dot 之队可怖非常耶？队中有女，头覆缦纱，疯然掷牌向敌，复施魔法之阵。遂唤紫晶巨擘，其形不可名状，仿若中世纪之恶巫，恣以诅咒加诸敌身。又有紫发之女，目覆墨镜，持枪挟刃，一望即知非善类也。其枪击之际，弹如雨下，似不惜费。且独自狂旋，口中喃喃：“当言别矣。”然数合已过，竟无一人中创。此二女连施诡谲之术，其技不可胜述，然所伤殊寡。实不知其所为者何，愈观之，愈觉诡异非常，令人惑焉。,positive (stars 4 and 5),0.6512385010719299
所以，我出手了,positive (stars 4 and 5),0.652236819267273
难道没人注意到海瑟音中间是透明的吗？搞不好中间已经被贯穿了，然后海瑟音用半神之力重塑了,positive (stars 4 and 5),0.5361284017562866
你又什么时候补强呢？,"negative (stars 1, 2 and 3)",0.7138646245002747
卡厨的脊梁骨彻底的断了,"negative (stars 1, 2 and 3)",0.9013013243675232
祝我流萤不歪,positive (stars 4 and 5),0.7506877183914185
加强黑天鹅。。,positive (stars 4 and 5),0.773984432220459
嘛，我的重点是……灰色的小鱼苗哈哈哈。喜提一个新称谓,positive (stars 4 and 5),0.9433156251907349
竟然没有人翻译文字吗？那我来！May the next feast be eternal“愿下一次盛宴永恒” 或 “愿接下来的欢宴永不终结”,positive (stars 4 and 5),0.5608190894126892
留给人类的姿势不多了、评论区别阴阳了,positive (stars 4 and 5),0.8912147879600525
这是卡妈售后吗，是的话我可回归了,"negative (stars 1, 2 and 3)",0.9497759342193604
这个……不太行，首先配色就不统一，想体现海洋主题的蓝紫色，和想体现严肃风格的咖色和黑色，用了红紫色做过度和渐变，但整体观感完全不协调，甚至不如直接用伊甸的那个风格设计的好，其次主题不明既没有突出优雅，也没有突出希腊文明背景的主题（希腊神话有一半在海上，你的选题按说是挺丰富的啊？为什么不用呢？波塞冬，九头蛇，各种海怪，海妖，一个都没有？），更没有突出法吉娜的那些标志性属性，金杯，欢宴之类的特征唯一能产生联想的是那个贝壳的装饰+一个海底的背景板，但你说这个服装是希儿的什么新时装我觉得也合理……就……不太行啊，亲,"negative (stars 1, 2 and 3)",0.9132196307182312
我说看着这么熟悉，原来是李素裳啊,positive (stars 4 and 5),0.9840254187583923
不是，一个海洋的半神，身上的蓝色还没有刻律多，dot队身上就必须带点紫对吧,"negative (stars 1, 2 and 3)",0.8239539861679077
太好了！我们dot队有救了！,positive (stars 4 and 5),0.8894015550613403
灵砂新形态,positive (stars 4 and 5),0.9829800128936768
出手罢神秘头纱女子墨镜女子,positive (stars 4 and 5),0.6418676972389221
爷：谁？谁在说我说是小鱼苗,"negative (stars 1, 2 and 3)",0.8535096645355225
咕嘿嘿，洞洞袜袜，嘿嘿,positive (stars 4 and 5),0.6704787611961365
这不赛琳娜吗？,"negative (stars 1, 2 and 3)",0.6990927457809448
你们说新角色都会怎么死啊？,"negative (stars 1, 2 and 3)",0.7754959464073181
期望建模的脸看起来御一点吧,positive (stars 4 and 5),0.975492000579834
欢迎来到dot队,positive (stars 4 and 5),0.6439762711524963
浮梦若薇！！！,positive (stars 4 and 5),0.9270389080047607
希望建模不要又是午餐肉吧,positive (stars 4 and 5),0.8892562985420227
@崩坏星穹铁道 下半卡池呢？ 不会又拖延吧,"negative (stars 1, 2 and 3)",0.654416024684906
啊！大海啊！母亲～,positive (stars 4 and 5),0.6308593153953552
这立绘也太普了，普的像仙舟女角色,"negative (stars 1, 2 and 3)",0.7999759912490845
我要御姐，不要少女,positive (stars 4 and 5),0.6250897645950317
我完蛋了……我还说这虚无强攻是什么东西,"negative (stars 1, 2 and 3)",0.9788622856140137
海的女儿,positive (stars 4 and 5),0.7802180051803589
我们虚无党真的是享福了，海瑟音再不支棱点我真要下载国家反诈app，求求你来个人类吧,positive (stars 4 and 5),0.6305854916572571
有点像,"negative (stars 1, 2 and 3)",0.5268324613571167
"其实眼睛或者说眼神和芽衣(后崩坏书)的也有些像
不过只要好看就行",positive (stars 4 and 5),0.9582342505455017
这个立绘也太差了,"negative (stars 1, 2 and 3)",0.9400717616081238
期待中午12点刻律德拉的立绘,positive (stars 4 and 5),0.9888048768043518
期待中午12点刻律德拉的立绘,positive (stars 4 and 5),0.9888048768043518
神秘出手女子和神秘墨镜女子终于等来了神秘拉琴女子,positive (stars 4 and 5),0.9862011075019836
没pv里的影子好看。,"negative (stars 1, 2 and 3)",0.5695899724960327
裙子是希儿，脸是素裳，背景是白露，姿势是灵砂,positive (stars 4 and 5),0.7544646263122559
"石见舞菜香？？？
当她出来的时候这就是一道必选题
椎名真昼yyds",positive (stars 4 and 5),0.9881054162979126
"虽然但是，第一眼真的像李素裳啊，仔细一看还有灵砂希儿的影子……
没玩过崩三，但因为素裳和罗刹去隔壁翻过一些帖子，我还以为是崩三新服装来着，仔细一看原来是海瑟音啊……海瑟音！！！",positive (stars 4 and 5),0.6356328129768372
好敷衍的设计。。产能不够了吗,positive (stars 4 and 5),0.5718472003936768
素裳穿着希儿的衣服，摆出灵砂的姿势换个名字叫海瑟音,positive (stars 4 and 5),0.8851311206817627
计划有变，对不起，白厄,positive (stars 4 and 5),0.6079071760177612
不是，这和我印象中的不符啊，不应该是高冷御姐吗？现在这是怎么回事，而且很像缝合怪啊,"negative (stars 1, 2 and 3)",0.9185614585876465
模拟宇宙的图标，一直让我以为海瑟音是星铁的少女,positive (stars 4 and 5),0.7224839329719543
素裳的脸希儿的衣服白露的背景和心海的鱼，我承认这机会元素挺多，但唯独感觉没有一点海瑟音本人的感觉，就连之前PV和资料里铺垫这么多的小提琴元素也一点没有，这真的还是海瑟音吗？感觉都不是一种气质了,"negative (stars 1, 2 and 3)",0.6350496411323547
这是？,"negative (stars 1, 2 and 3)",0.8335084915161133
海瑟音好好看！！！！！（其实感觉还是描述戳我了，但是建模确实也还可以）还有，瑟希斯会出角色吗喵喵喵,positive (stars 4 and 5),0.9887111186981201
阮梅的发型，黄泉的脸希尔的衣服，灵砂的手你就是拼好人？,positive (stars 4 and 5),0.9706874489784241
衣服设计有既视感，是不是好久没创新了,positive (stars 4 and 5),0.6348137259483337
这立绘真不如差分宇宙buff和PV 感觉气质都变了 那把巨有辨识度小提琴也神秘失踪 一整个缝合 和那刻夏的一样敷衍,"negative (stars 1, 2 and 3)",0.8748574256896973
故人之姿,positive (stars 4 and 5),0.9862467050552368
除了音，海和瑟都在立绘中体现了。,positive (stars 4 and 5),0.9453588724136353
小鱼苗,positive (stars 4 and 5),0.7272253036499023
我嘞个拼好人,"negative (stars 1, 2 and 3)",0.7379236221313477
啊？物理虚无，虽然崩铁角色的颜色和属性不一定能对得上，但这物理是真没想到啊,"negative (stars 1, 2 and 3)",0.7861611247062683
海瑟音之死,positive (stars 4 and 5),0.8934329152107239
人山人海啊,positive (stars 4 and 5),0.5945069193840027
"海瑟音立绘上的文字：
愿下一场欢宴永不落幕。
May the next feast be eternal.",positive (stars 4 and 5),0.9917802214622498
素裳，你怎么穿着希儿的衣服,"negative (stars 1, 2 and 3)",0.678181529045105
呀，希儿真美,positive (stars 4 and 5),0.9548651576042175
计划有变，兄弟们,positive (stars 4 and 5),0.6038416624069214
李素裳穿希儿的衣服，用着灵砂的姿势白露的背景,positive (stars 4 and 5),0.9896581768989563
总感觉哪里怪怪的，感觉很像什么东西，但又不是很对味儿，奇怪,"negative (stars 1, 2 and 3)",0.6656996011734009
不是因该用伊甸模型吗，这明明是李素裳加灵砂,"negative (stars 1, 2 and 3)",0.8800545930862427
海瑟音死亡原因——海瑟音的死亡原因是她无法接受自己即将加入DOT队的命运，选择了自杀。这一选择反映了她对未来的恐惧和对DOT队的抵触情绪。,positive (stars 4 and 5),0.9709190130233765
刚看到这个，幻视,positive (stars 4 and 5),0.6579369306564331
虽然说细看的话，脸确实和其他的不一样，但是真的有种灵砂素裳加希儿融合的感觉,positive (stars 4 and 5),0.9729731678962708
拼好人？,positive (stars 4 and 5),0.8007672429084778
设计师可以裁了,positive (stars 4 and 5),0.8566995859146118
真难看,"negative (stars 1, 2 and 3)",0.9742573499679565
素裳偷穿希儿衣服并使用白露的背景（bushi,"negative (stars 1, 2 and 3)",0.5762271881103516
另起炉灶！另起炉灶！,positive (stars 4 and 5),0.7545997500419617
你游立绘是越来越凑了。,positive (stars 4 and 5),0.6226505041122437
报看,positive (stars 4 and 5),0.7863630652427673
下版本三个角色看来是得跳过了,positive (stars 4 and 5),0.9065545201301575
磷妖战士海问香,positive (stars 4 and 5),0.9572176933288574
。。。破洞嗨丝吗，有意思,"negative (stars 1, 2 and 3)",0.8989621996879578
是dot辅还行，是dot手等于鹅二代,positive (stars 4 and 5),0.5059798359870911
素裳抢了希儿的衣服白露的背景摆着灵纱的姿势化名海瑟音，到了翁法罗斯来当黄金裔（🐶🐶🐶🐶）,positive (stars 4 and 5),0.9908966422080994
真够敷衍的,"negative (stars 1, 2 and 3)",0.9048057794570923
等等，“为天外的英雄”？所以下一周目是海瑟音迎接开拓者？,positive (stars 4 and 5),0.9255006313323975
怎么跟差分里的不一样啊,"negative (stars 1, 2 and 3)",0.9612924456596375
只有我关注为啥这个色调居然是物理属性吗哈哈哈哈,positive (stars 4 and 5),0.9009862542152405
素裳你也两个同位体吗（开玩笑，但是长得真的好像）别到时候，刻律德拉也真的跟符华有几分相似，就好玩了orz,positive (stars 4 and 5),0.8637756109237671
物理，虚无,"negative (stars 1, 2 and 3)",0.94474858045578
"愿下一场欢宴永不落幕。
May the next feast be eternal.",positive (stars 4 and 5),0.9779735207557678
这都是爷在翁法洛斯第几个绰号了，白厄叫搭档，缇宝叫小灰，风堇叫灰宝，赛飞儿好像叫灰子，海瑟音叫灰色小鱼苗,positive (stars 4 and 5),0.9014223217964172
比起李素裳，我怎么感觉有种后崩芽衣的味道？,"negative (stars 1, 2 and 3)",0.5309445261955261
老婆,positive (stars 4 and 5),0.9207437634468079
像希儿和素裳生的,positive (stars 4 and 5),0.5109184980392456
还有没有人记得林朝雨（符华的徒弟），其实发色也蛮像的,positive (stars 4 and 5),0.9579286575317383
不是怎么能看出好多角色的影子,"negative (stars 1, 2 and 3)",0.5131445527076721
"海瑟音立绘上的文字：
愿下一场欢宴永不落幕。
May the next feast be eternal.
The text on Hysilens&#39;s splash",positive (stars 4 and 5),0.9917802214622498
这个袖子...实机一定要好看啊，不要实心蓬蓬袖求求,"negative (stars 1, 2 and 3)",0.6658741235733032
希儿和李素裳背着我干了什么好事,positive (stars 4 and 5),0.9095068573951721
感觉像缝合怪,"negative (stars 1, 2 and 3)",0.800229549407959
物理虚无？又可以打铁了,"negative (stars 1, 2 and 3)",0.9012546539306641
"是不是八月份进卡池？
每个夏天出虚无吗 第一年卡芙卡 第二年椒丘 
我和虚无的夏天","negative (stars 1, 2 and 3)",0.6003077626228333
